location,lat,lon
"Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India",18.4759109,73.45924169999999
"Sinhagad Road, near Pu La Deshpande Park, Pune, Maharashtra, India",18.4571619,73.8033639
"Bhor Ghat, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Near Wakad Bridge, Highway, Pune, Maharashtra, India",18.5869809,73.7591762
"Pune Railway Station South Gate, Pune, Maharashtra, India",18.5065995,73.92844769999999
"University Chowk, Ganeshkhind Road, Pune, Maharashtra, India",18.5411856,73.830649
"Near Urse Toll Naka, Expressway, Pune, Maharashtra, India",18.7143346,73.62451949999999
"Near Somatane Phata, Old Highway, Pune, Maharashtra, India",18.7279114,73.6541512
"Near Akurdi Railway Station, Pune, Maharashtra, India",18.6534334,73.7648429
"Near Shaniwar Wada, Pune, Maharashtra, India",18.5263148,73.8517488
"Near Symbiosis Law School, Pune, Maharashtra, India",18.5754928,73.90796379999999
"Magarpatta City Main Road, Pune, Maharashtra, India",18.5735047,73.8195051
"Karve Road, near Deccan, Pune, Maharashtra, India",18.5129387,73.8398418
"Chakan-Ambethan Road, Pune, Maharashtra, India",18.7743656,73.8411211
"Near Deep Bungalow Chowk, Pune, Maharashtra, India",18.5298614,73.83541319999999
"Near Ambegaon, Bypass Highway, Pune, Maharashtra, India",18.4541483,73.8327617
"JM Road near Bal Gandharva, Pune, Maharashtra, India",18.5212065,73.8467797
"Lonikand-Shikrapur Road, Pune, Maharashtra, India",18.7627616,74.0965911
"Koregaon Park Lane 1, Pune, Maharashtra, India",18.5400538,73.9007535
"Khalapur Section (Pune side), Maharashtra, India",18.5150696,73.9023924
"Hinjewadi Phase 3 Road, Pune, Maharashtra, India",18.623236,73.8695379
"Near West End Cinema, Camp, Pune, Maharashtra, India",18.5204303,73.8567437
"Talegaon Dabhade, Expressway, Pune, Maharashtra, India",18.7322566,73.6696667
"Market Yard Chowk, Pune, Maharashtra, India",18.4876541,73.86836970000002
"Bavdhan Flyover, Pune, Maharashtra, India",18.513463,73.76985789999999
"Near Vanaz Metro, Kothrud, Pune, Maharashtra, India",18.5071294,73.8052511
"Katraj Ghat Section, Pune, Maharashtra, India",18.4216354,73.8601013
"Near Lonavala Exit, Pune, Maharashtra, India",18.7779226,73.3983721
"Near Ivy Estate, Wagholi, Pune, Maharashtra, India",18.5839924,74.0032037
"Jedhe Chowk, Swargate, Pune, Maharashtra, India",18.5005978,73.8584993
"Near Phoenix Mall, Viman Nagar, Pune, Maharashtra, India",18.5622429,73.91667559999999
"Baner-Balewadi Road, Pune, Maharashtra, India",18.5699064,73.7811281
"Pune-Ahmednagar Highway, Pune, Maharashtra, India",18.5621306,73.923209
"Near Golf Course, Yerawada, Pune, Maharashtra, India",18.5529226,73.879711
"Dehu Road Cantonment, Pune, Maharashtra, India",18.6860277,73.74771419999999
"Kondhwa, Pune, Maharashtra, India",18.4695088,73.8889779
"Pimpri Grade Separator, Pune, Maharashtra, India",18.6263131,73.805498
"Pune-Paud Road, Mulshi, Pune, Maharashtra, India",18.5073253,73.7882575
"Bhor, Pune, Maharashtra, India",18.1458199,73.8429847
"Pune-Solapur Road, Pune, Maharashtra, India",18.5052652,73.9170244
"Wakad-Hinjewadi Road, Pune, Maharashtra, India",18.5908656,73.7478284
"Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Kondhwa-Katraj Road, Pune, Maharashtra, India",18.4530153,73.8891275
"Wagholi, Pune, Maharashtra, India",18.5807719,73.9787063
"Hinjewadi, Pune, Maharashtra, India",18.5912716,73.73890899999999
"Shaniwar Wada Frontage, Pune, Maharashtra, India",18.5195841,73.85542079999999
"Pune-Satara Road, Pune, Maharashtra, India",18.4586515,73.8581337
"Khandoba Mal, Pune, Maharashtra, India",18.6182913,73.85109539999999
"Fatima Nagar Chowk, Pune, Maharashtra, India",18.5064875,73.9011094
"Old Mumbai-Pune Highway, Pune, Maharashtra, India",18.5523134,73.8494254
"Moshi-Chakan Road, Pune, Maharashtra, India",18.7386836,73.7529882
"Camp, Pune, Maharashtra, India",18.4989676,73.8957205
"Bremen Chowk, Pune, Maharashtra, India",18.559178,73.816039
"Rakshak Chowk, Pune, Maharashtra, India",18.582646,73.7976722
"Wadgaon Sheri, Pune, Maharashtra, India",18.5491477,73.918503
"Dehu Road Area, Pune, Maharashtra, India",18.6860277,73.74771419999999
"Mulshi Road, Pune, Maharashtra, India",18.5057781,73.7675512
"Famous Chowk, Pune, Maharashtra, India",18.5797194,73.8120848
"Pashan-Wakad Highway, Pune, Maharashtra, India",18.5886986,73.7778724
"Nalge Vasti, Nhavare-Chaufula National Highway, Pune, Maharashtra, India",18.6627708,74.369084
"Aundh Road, near University Chowk, Pune, Maharashtra, India",18.5627653,73.8266073
"Near Wagholi Phata, Pune-Ahmednagar Road, Pune, Maharashtra, India",18.5936874,73.9230796
"Khandala Ghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7693125,73.4043386
"Phase 3 Flyover, Hinjewadi, Pune, Maharashtra, India",18.5868397,73.68599499999999
"Katraj Tunnel Approach Road, Pune, Maharashtra, India",18.4004638,73.8498874
"Khadi Machine Chowk, Kondhwa-Saswad Road, Pune, Maharashtra, India",18.452679,73.889955
"Urse Toll Plaza, Mumbai-Pune Expressway, Pune, Maharashtra, India",18.7040106,73.6419622
"Navale Bridge (Self-Correction Point), Pune, Maharashtra, India",18.459773,73.8236242
"Phursungi IT Park Road, Pune, Maharashtra, India",18.4915119,73.954351
"Senapati Bapat Road, near Marriott Hotel, Pune, Maharashtra, India",18.5304378,73.8299152
"Hadapsar-Solapur Road, Pune, Maharashtra, India",18.1550907,74.9708315
"Karve Road, Nal Stop Chowk, Pune, Maharashtra, India",18.5084403,73.8311303
"Viman Nagar, near Phoenix Mall, Pune, Maharashtra, India",18.5678553,73.9143637
"Loni Kalbhor Canal Road, Pune, Maharashtra, India",18.4878505,74.0234138
"Keshav Nagar, Mundhwa-Manjari Road, Pune, Maharashtra, India",18.5269946,73.9520926
"Koregaon Park, North Main Road, Pune, Maharashtra, India",18.539518,73.89457
"Dhayari Phata, Sinhagad Road, Pune, Maharashtra, India",18.4571619,73.8033639
"Near Chikhali, Pimpri-Chinchwad, Pune, Maharashtra, India",18.6453226,73.83542779999999
